Size, Unordered, Ordered, Almost ordered, Reverse ordered 
1,12,0,0,0, 
20001,3513,1409,1482,1369, 
40001,7477,2773,3392,2858, 
60001,10849,3805,4225,3794, 
80001,13468,5207,5602,5139, 
100001,17118,6913,7946,7498, 
120001,21895,8804,9886,7788, 
140001,24203,9005,10934,9031, 
160001,28147,10736,11524,10917, 
180001,31445,11947,12842,11846, 
200001,35164,13376,14222,13293, 
220001,39174,14611,15798,14781, 
240001,43039,15900,17759,15965, 
260001,46490,17036,18374,17224, 
280001,50838,18641,21936,18507, 
300001,57144,21811,24201,21571, 
320001,61990,21828,27887,21957, 
340001,61365,23201,24575,23958, 
360001,65805,24737,26317,24502, 
380001,69206,26921,32894,27588, 
400001,75951,27704,30282,27783, 
420001,77732,29064,34308,29953, 
440001,82713,31155,41117,31088, 
460001,87261,32111,37132,32363, 
480001,91361,34499,44708,33955, 
500001,93006,34372,72573,41573, 
520001,101273,35651,38190,35987, 
540001,101648,45504,56164,42177, 
560001,112490,41388,41846,38655, 
580001,107741,40750,42813,40410, 
600001,114354,43855,46068,42934, 
620001,118618,44152,60054,46070, 
640001,122748,47068,50391,45503, 
660001,126116,46577,49053,46454, 
680001,143373,61204,69512,64703, 
700001,156054,55566,71069,53531, 
720001,137798,54946,57972,52708, 
740001,144656,53652,59026,54562, 
760001,145998,55874,68294,65142, 
780001,169309,66113,69362,63880, 
800001,169126,57652,70531,59049, 
820001,156380,58926,64184,60080, 
840001,162317,61889,65802,60052, 
860001,221962,74772,84673,75089, 
880001,193562,72446,81789,66979, 
900001,173431,65408,82403,64224, 
920001,177389,65476,93865,78914, 
940001,205950,78245,101861,79766, 
960001,204701,73156,72825,68588, 
980001,193585,71009,87430,74715, 
1000001,222037,91330,93816,89739, 
1020001,225536,72022,96168,74950, 
1040001,204061,76560,95293,84877, 
1060001,230406,76058,81421,74847, 
1080001,210583,75606,83355,78192, 
1100001,213229,79061,105301,92645, 
1120001,233459,82073,96132,83722, 
1140001,225437,84742,87468,82130, 
1160001,240143,136009,183425,115822, 
1180001,325274,104990,105180,86059, 
1200001,250009,140368,176562,203971, 
1220001,341205,125599,108034,96093, 
1240001,302163,145336,127390,124484, 
1260001,382391,122693,182524,131422, 
1280001,386473,180417,175766,167669, 
1300001,409303,119332,175618,118013, 
1320001,337162,129923,157721,151824, 
1340001,351398,189236,269090,233306, 
1360001,301236,188770,167547,316038, 
1380001,482069,125619,144015,301890, 
1400001,452733,145406,132193,136234, 
1420001,412385,116214,123496,104071, 
1440001,282921,106201,115343,110545, 
1460001,310245,109986,117079,116596, 
1480001,299755,121227,120628,113353, 
1500001,312698,152874,135184,118002, 
