Size, Unordered, Ordered, Almost ordered, Reverse ordered 
1,10,0,0,0, 
20001,3097,1225,1531,1271, 
40001,9439,2539,3459,2534, 
60001,13414,3820,4644,3781, 
80001,16647,6151,6337,5914, 
100001,20288,8079,8923,7635, 
120001,24801,9371,12190,8019, 
140001,28752,9241,12275,9861, 
160001,33424,10703,14883,11545, 
180001,36365,13306,16216,12999, 
200001,39696,13690,16778,16347, 
220001,42537,14916,16411,19229, 
240001,74057,32233,27462,39176, 
260001,51323,17522,19167,17580, 
280001,55005,19059,20679,18984, 
300001,60109,20524,22095,20400, 
320001,63221,22734,27458,22381, 
340001,67579,23574,25634,23357, 
360001,82165,24496,28221,26302, 
380001,73131,35840,35753,37986, 
400001,84279,34665,38410,30978, 
420001,84641,30346,32415,38615, 
440001,81031,30497,40485,31550, 
460001,91075,31975,40217,31604, 
480001,89905,33963,53486,40505, 
500001,95193,34371,46154,35356, 
520001,101482,39065,48567,35748, 
540001,101658,37044,67329,55987, 
560001,107815,38423,41232,38235, 
580001,119449,40885,43656,41877, 
600001,123956,42978,45053,41638, 
620001,116576,43353,52053,44436, 
640001,120948,46555,59814,45341, 
660001,127131,46974,50738,47570, 
680001,132262,48761,61063,50300, 
700001,136244,51252,54757,50227, 
720001,137065,51679,56940,52400, 
740001,140896,55934,58576,56088, 
760001,147892,54169,69841,55034, 
780001,149672,57306,72412,58386, 
800001,153400,60484,61332,57099, 
820001,158218,60387,64611,60246, 
840001,164255,60778,68069,66425, 
860001,163705,62064,73095,63399, 
880001,167992,63360,79468,66544, 
900001,176321,65874,89032,66569, 
920001,268786,71714,71733,68181, 
940001,186046,66866,76389,68068, 
960001,206363,112221,180963,117349, 
980001,289601,89602,100674,75694, 
1000001,194410,70719,88550,70884, 
1020001,210184,72191,79035,73149, 
1040001,201309,74396,78449,72847, 
1060001,203613,74882,83944,74118, 
1080001,209217,76246,102965,76438, 
1100001,212384,77308,104558,88267, 
1120001,231408,86123,105412,84102, 
1140001,224245,84956,89117,81975, 
1160001,237807,85539,116177,85625, 
1180001,230069,84535,90404,83545, 
1200001,234037,86201,113258,85689, 
1220001,239518,89901,97617,90519, 
1240001,240242,90405,157375,99513, 
1260001,254695,94405,105234,94650, 
1280001,259095,96279,124747,132603, 
1300001,329765,149777,104006,105424, 
1320001,290949,95764,102215,94755, 
1340001,260936,97511,124200,99454, 
1360001,272544,99544,105097,99116, 
1380001,271779,102738,128853,101544, 
1400001,276153,102002,119709,104542, 
1420001,277327,108254,136204,103303, 
1440001,282569,104328,112547,104733, 
1460001,301067,107497,134963,107662, 
1480001,288984,108845,148050,109248, 
1500001,293029,112483,153099,111881, 
1520001,297811,113388,124367,113445, 
1540001,302615,113892,135616,115967, 
1560001,307679,117053,131106,116840, 
1580001,313013,116269,124959,117454, 
1600001,319273,117588,127843,118113, 
1620001,320938,119558,166476,117965, 
1640001,324423,122282,127819,121464, 
1660001,328947,130081,137469,121458, 
1680001,333078,123617,160186,123562, 
1700001,336293,124417,133001,124802, 
1720001,340873,125496,134842,125132, 
1740001,345291,126730,146829,126252, 
1760001,348387,127611,178958,129080, 
1780001,352287,130355,164887,130187, 
1800001,360057,131351,141376,132868, 
1820001,358461,132843,164631,132126, 
1840001,363516,132342,142727,133945, 
1860001,368741,135687,188136,134824, 
1880001,373411,138069,177993,136220, 
1900001,379206,136807,158107,138327, 
1920001,381127,143057,156667,149049, 
